_,CO2,CH4,C3H8,NG,SPEC
$,400.00,1.00,62.00,,23.00
$,320.00,1.00,62.00,,23.00
$,413.00,1.00,60.00,,23.00
$,323.00,1.00,59.00,,23.00
$,384.00,1.00,58.00,,23.00
$,284.00,1.00,57.00,,23.00
$,403.00,1.00,56.00,,23.00
$,282.00,1.00,56.00,,23.00
$,282.00,1.00,58.00,,23.00
$,282.00,1.00,58.00,,23.00
$,282.00,1.00,56.00,,23.00
$,282.00,1.00,56.00,,23.00
$,400.00,1.00,54.00,,23.00
$,397.00,1.00,54.00,,23.00
$,282.00,1.00,54.00,,23.00
$,282.00,1.00,53.00,,23.00
$,282.00,1.00,55.00,,23.00
$,282.00,1.00,55.00,,23.00
$,282.00,1.00,53.00,,23.00
$,282.00,1.00,52.00,,23.00
$,282.00,1.00,51.00,,23.00
$,279.00,1.00,50.00,,23.00
$,282.00,1.00,50.00,,23.00
$,282.00,1.00,52.00,,23.00
$,276.00,1.00,54.00,,23.00
$,276.00,1.00,55.00,,23.00
$,276.00,1.00,54.00,,23.00
$,276.00,1.00,54.00,,23.00
$,276.00,1.00,53.00,,23.00
$,274.00,1.00,53.00,,23.00
$,276.00,1.00,52.00,,23.00
$,276.00,1.00,55.00,,23.00
$,274.00,1.00,56.00,,23.00
$,274.00,1.00,58.00,,23.00
$,274.00,1.00,56.00,,23.00
$,276.00,1.00,56.00,,23.00
$,274.00,1.00,55.00,,23.00
$,276.00,1.00,55.00,,23.00
$,276.00,1.00,55.00,,23.00
$,276.00,1.00,57.00,,23.00
$,276.00,1.00,57.00,,23.00
$,276.00,1.00,58.00,,23.00
$,274.00,1.00,58.00,,23.00
$,276.00,1.00,58.00,,23.00
$,279.00,1.00,58.00,,23.00
$,276.00,1.00,58.00,,23.00
$,282.00,1.00,58.00,,23.00
$,282.00,1.00,59.00,,23.00
$,282.00,1.00,60.00,,23.00
$,282.00,1.00,60.00,,23.00
$,284.00,1.00,60.00,,23.00
$,287.00,1.00,60.00,,23.00
$,287.00,1.00,61.00,,23.00
$,287.00,1.00,60.00,,23.00
$,287.00,1.00,61.00,,23.00
$,287.00,1.00,62.00,,23.00
$,284.00,1.00,62.00,,23.00
$,287.00,1.00,62.00,,23.00
$,287.00,1.00,62.00,,23.00
$,287.00,1.00,62.00,,23.00
$,287.00,1.00,63.00,,23.00
$,284.00,1.00,62.00,,23.00
$,284.00,1.00,63.00,,23.00
$,284.00,1.00,64.00,,23.00
$,284.00,1.00,64.00,,23.00
$,284.00,1.00,64.00,,23.00
$,284.00,1.00,64.00,,23.00
$,290.00,1.00,67.00,,23.00
$,287.00,1.00,66.00,,23.00
$,287.00,1.00,67.00,,23.00
$,287.00,1.00,67.00,,23.00
$,287.00,1.00,66.00,,23.00
$,282.00,1.00,67.00,,23.00
$,284.00,1.00,67.00,,23.00
$,282.00,1.00,66.00,,23.00
$,282.00,1.00,68.00,,23.00
$,284.00,1.00,68.00,,23.00
$,284.00,1.00,67.00,,23.00
$,282.00,1.00,67.00,,23.00
$,284.00,1.00,68.00,,23.00
$,284.00,1.00,69.00,,23.00
$,284.00,1.00,69.00,,23.00
$,284.00,1.00,69.00,,23.00
$,284.00,1.00,69.00,,23.00
$,287.00,1.00,69.00,,23.00
$,287.00,1.00,69.00,,23.00
$,287.00,1.00,69.00,,23.00
$,287.00,1.00,69.00,,23.00
$,287.00,1.00,69.00,,23.00
$,287.00,1.00,70.00,,23.00
$,284.00,1.00,71.00,,23.00
$,287.00,1.00,70.00,,23.00
$,284.00,1.00,70.00,,23.00
$,287.00,1.00,70.00,,23.00
$,287.00,1.00,70.00,,23.00
$,290.00,1.00,71.00,,23.00
$,290.00,1.00,72.00,,23.00
$,287.00,1.00,73.00,,23.00
$,287.00,1.00,72.00,,23.00
$,287.00,1.00,72.00,,23.00
$,284.00,1.00,72.00,,23.00
$,287.00,1.00,71.00,,23.00
$,290.00,1.00,72.00,,23.00
$,287.00,1.00,73.00,,23.00
$,287.00,1.00,73.00,,23.00
$,284.00,1.00,74.00,,23.00
$,284.00,1.00,74.00,,23.00
$,284.00,1.00,74.00,,23.00
$,284.00,1.00,74.00,,23.00
